,Package,Description,Tests
466,immunoglobulin iga ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Immunoglobulin Iga is a laboratory test that measures the levels of IgA antibodies present in the blood. This test is conducted to detect and diagnose conditions associated with low or high levels of IgA antibodies. IgA antibodies are produced by the immune system and help to protect the body from infections caused by bacteria and viruses. The Immunoglobulin Iga test is a simple blood test that helps in detecting any underlying medical condition.
Symptoms

Read More","Test(s) Included (1)
Immunoglobulin - Iga
1 Test Included"
467,hbe antigen hbeag ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
HBe ANTIGEN (HbeAg) test is a diagnostic test that is conducted to detect the presence of the hepatitis B virus in the blood of an individual. Hepatitis B is a viral infection that affects the liver and can cause acute as well as chronic liver disease. This test is used to monitor the progression of the disease and assess a patient's response to treatment. The HBe ANTIGEN (HbeAg) test is a simple blood test that can be performed at any diagnostic centre or laboratory.

Read More","Test(s) Included (1)
Hbe Antigen ( HBE Ag)
1 Test Included"
468,dengue igg elisa ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Dengue is a viral disease that is caused by the bite of an Aedes mosquito. It occurs when the virus that causes the disease enters the bloodstream and triggers severe flu-like illness. In extreme cases, one may experience severe dengue, a life-threatening condition. The disease is most prevalent in tropical and sub-tropical climates in the world.
The female Aedes mosquito gets infected after biting a dengue-infected person. After it feeds on it, the virus undergoes replication in the mosquito’s midgut before spreading to the secondary tissues. The period from when the mosquito gets infected to when it infects a new human host is called the extrinsic incubation period.

Read More","Test(s) Included (1)
DENGUE IgG - ELISA
1 Test Included"
469,allergy aspergillus fumigatus ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
Certain airborne fungi like aspergillus fumigatus can be a cause of severe infections. You can develop allergic reaction to fumigatus by inhaling spores of this microorganism. People with comparatively weak immunity are at a higher risk of catching such infections.
Here are the risks associated with a potential fumigatus allergy:
You have a lung condition like asthma
You recently experienced a bout of influenza
You are taking immunosuppressive drugs

Read More","Test(s) Included (1)
ALLERGY, ASPERGILLUS FUMIGATUS
1 Test Included"
470,hb tc dc mp ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The hemoglobin. total and differential leucocyte count test are done as a part of a complete blood count. It is done in case of signs and symptoms of anemia, polycythemia, leukemia, or leukopenia. It is done at regular intervals to monitor the ongoing response to the treatment. The Malarial Parasite test helps to detect malaria antigens in the blood. The malarial parasite is detected when an individual is suffering from malaria. Anopheles mosquito if infected with malaria can transfer the malarial parasite to human blood by its bite. The hemoglobin, total leucocyte count, and differential leucoucyte count test is done: • As a part of routine health check-up • As a part of complete blood count • To evaluate the hemoglobin content in the blood • To monitor the overall health of an individual such as weakness, fatigue, fever, • In cases when there are signs and symptoms related to conditions/diseases related to blood cells such as weakness, fever, inflammation, or bleeding. • To monitor the treatment of condition/diseases related to blood cells such as bleeding disorders and treatment procedures such as chemotherapy   The Malarial Parasite test is done: • In case of signs or symptoms like fever with chills, nausea, vomiting, headache, diarrhea, and profuse sweating • As a part of fever panel check-up
Read More","Test(s) Included (23)
HB TC DC MP
23 Tests Included"
471,torch 10 profile igg and igm ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
TORCH IgG & IgM test is a panel of tests for detecting the presence of specific infections in pregnant women or newborns. 
The TORCH 10 IgG or IgM Test
A TORCH IgG & IgM test detects diseases that can occur due to the following parasites or viruses:
Toxoplasma gondii
Rubella
Cytomegalovirus (CMV)

Read More","Test(s) Included (10)
Torch 10 IgG & IgM
10 Tests Included"
472,anti sars cov 2 spike protein ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-Cov-2) is the virus responsible for the coronavirus pandemic that has claimed millions of victims. This virus, like other viruses, consists of spike proteins that help the virus invade the host cells and cause infection.
The spike protein of the SARS-Cov-2 virus consists of two primary parts- the N-terminal S1 subunit and the C-terminal S2 subunit. The former forms the spherical head of the virus, whereas the S2 subunit makes up the stalk of the virus cell. It is directly embedded into the viral envelope.

Read More","Test(s) Included (1)
ANTI-SARS-COV-2 SPIKE PROTEIN
1 Test Included"
473,sars cov 2 igm antibody ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
This test is used to detect Ig M antibodies. Ig M is usually the first antibody produced by the immune system during an infection. A positive IgM indicates that you may be infected or have been vaccinated recently and that your body has responded to the infection / vaccination. If IgM is detected, it indicates that you may still be infected or have recovered recently from the infection.
Read More","Test(s) Included (1)
SARS-COV-2 IGM"
474,sars cov 2 igg antibody ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The Covid IgG antibody test helps to detect the presence of antibodies developed against Covid 19. These antibodies are made by the body in case one has been exposed to Covid 19 or has got a vaccination for Covid 19. The Covid IgG antibody test is done: • In case one is suspected to have Covid 19 • To determine the presence of Covid 19 antibodies in the body
Read More","Test(s) Included (1)
ANTI-SARS-COV-2 IGG"
475,covid 19 rt pcr with home collection ,"About
Sample
SWAB
Gender
Both
Age group
All age group
This test is also known as COVID-19 Testing, Coronavirus 2019 Test, SARS-CoV-2 Test, and SARS-CoV-2 Antigen Test. It helps diagnose COVID-19 infection in an individual and is done via the RT-PCR method.
 
The COVID-19 RT-PCR test is done: 
• In case of symptoms of COVID-19 infection. 
• If one has been exposed to COVID-19 or has come in contact with an individual already infected with COVID-19. 
• If one has traveled from one country to another country or within the country from one state to another state. 

Please note that the samples are processed at NABL accredited labs and authorised by ICMR.
 Read More","Test(s) Included (1)
COVID -19 RT PCR"
476,hb esr ,"About
Sample
BLOOD
Gender
Both
Age group
7 years & above
The hemoglobin test is done as a part of a complete blood count. It is done in case of signs and symptoms of anemia, polycythemia, and dehydration. It is done at regular intervals to monitor the ongoing response to the treatment. Erythrocyte Sedimentation Rate (ESR) helps to detect the presence of inflammation in the body. Inflammation can be caused by infections, tumors, or autoimmune diseases. ESR helps to diagnose and monitor conditions such as polymyalgia rheumatica, temporal arteritis, systemic vasculitis, or rheumatoid arthritis. The hemoglobin test is done: • To evaluate the hemoglobin content in the blood • As a part of routine health check-up • To screen and diagnose conditions that affect red blood cells. • To assess the severity of anemia or polycythemia • To monitor the ongoing treatment for anemia or polycythemia   The ESR test is done: • In case of a condition causing inflammation • In case of signs and symptoms of diseases such as temporal arteritis, polymyalgia rheumatica, systemic vasculitis • In case of signs and symptoms of rheumatoid arthritis such as neck or shoulder pain, pelvic pain, headaches, poor appetite, anemia, unexplained weight loss, and joint stiffness
Read More","Test(s) Included (2)
HB ESR
2 Tests Included"
